Year,OrgCode,OrgName,OrgType,VacCode,Value
2009-10,E12000002,North West,Region,DTaP_IPV_5y,87.8890803386595
2009-10,E12000002,North West,Region,DTaP_IPV_Hib_12m,94.6992899902548
2009-10,E12000002,North West,Region,DTaP_IPV_Hib_24m,96.5834896365061
2009-10,E12000002,North West,Region,Hib_MenC_24m,92.1664782036785
2009-10,E12000002,North West,Region,MMR_24m,91.1370165483511
2009-10,E12000002,North West,Region,MMR1_5y,93.6767859577791
2009-10,E12000002,North West,Region,MMR2_5y,85.8015891708297
2009-10,E12000002,North West,Region,PCV_12m,94.2015870806070
2009-10,E12000002,North West,Region,PCV_24m,89.9129993307641
2009-10,E12000003,Yorkshire & the Humber,Region,Cohort_12m,65673.0000000000000
2009-10,E12000003,Yorkshire & the Humber,Region,Cohort_24m,65042.0000000000000
2009-10,E12000003,Yorkshire & the Humber,Region,Cohort_5y,60955.0000000000000
2009-10,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_5y,85.9224017717989
2009-10,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_12m,94.7878123429720
2009-10,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_24m,96.2977768211310
2009-10,E12000003,Yorkshire & the Humber,Region,Hib_MenC_24m,93.0475692629378
2009-10,E12000003,Yorkshire & the Humber,Region,MMR_24m,89.2392607853387
2009-10,E12000003,Yorkshire & the Humber,Region,MMR1_5y,93.1178738413584
2009-10,E12000003,Yorkshire & the Humber,Region,MMR2_5y,85.1398572717578
2009-10,E12000003,Yorkshire & the Humber,Region,PCV_12m,93.9518523594171
2009-10,E12000003,Yorkshire & the Humber,Region,PCV_24m,89.7742996832816
2009-10,E12000004,East Midlands,Region,Cohort_12m,53523.0000000000000
2009-10,E12000004,East Midlands,Region,Cohort_24m,53732.0000000000000
2009-10,E12000004,East Midlands,Region,Cohort_5y,49345.0000000000000
2009-10,E12000004,East Midlands,Region,DTaP_IPV_5y,86.8193332657817
2009-10,E12000004,East Midlands,Region,DTaP_IPV_Hib_12m,94.9573080731648
2009-10,E12000004,East Midlands,Region,DTaP_IPV_Hib_24m,96.6184024417479
2009-10,E12000004,East Midlands,Region,Hib_MenC_24m,92.5891461326584
2009-10,E12000004,East Midlands,Region,MMR_24m,89.6914315491699
2009-10,E12000004,East Midlands,Region,MMR1_5y,92.3254635728037
2009-10,E12000004,East Midlands,Region,MMR2_5y,85.6236700780221
2009-10,E12000004,East Midlands,Region,PCV_12m,94.5313229826430
2009-10,E12000004,East Midlands,Region,PCV_24m,90.2795354723442
2009-10,E12000005,West Midlands,Region,Cohort_12m,69443.0000000000000
2009-10,E12000005,West Midlands,Region,Cohort_24m,68706.0000000000000
2009-10,E12000005,West Midlands,Region,Cohort_5y,62663.0000000000000
2009-10,E12000005,West Midlands,Region,DTaP_IPV_5y,90.1201666054929
2009-10,E12000005,West Midlands,Region,DTaP_IPV_Hib_12m,94.9987759745403
2009-10,E12000005,West Midlands,Region,DTaP_IPV_Hib_24m,96.8037725962798
2009-10,E12000005,West Midlands,Region,Hib_MenC_24m,93.0268098855995
2009-10,E12000005,West Midlands,Region,MMR_24m,90.5015573603470
2009-10,E12000005,West Midlands,Region,MMR1_5y,93.5560059365176
2009-10,E12000005,West Midlands,Region,MMR2_5y,86.8231651851970
2009-10,E12000005,West Midlands,Region,PCV_12m,94.8043719309362
2009-10,E12000005,West Midlands,Region,PCV_24m,90.9134573399703
2009-10,E12000006,East of England,Region,Cohort_12m,71558.0000000000000
2009-10,E12000006,East of England,Region,Cohort_24m,71331.0000000000000
2009-10,E12000006,East of England,Region,Cohort_5y,67165.0000000000000
2009-10,E12000006,East of England,Region,DTaP_IPV_5y,86.0716146802650
2009-10,E12000006,East of England,Region,DTaP_IPV_Hib_12m,94.7762654070824
2009-10,E12000006,East of England,Region,DTaP_IPV_Hib_24m,95.7942549522648
2009-10,E12000006,East of England,Region,Hib_MenC_24m,92.6665825517657
2009-10,E12000006,East of England,Region,MMR_24m,87.3168748510465
2009-10,E12000006,East of England,Region,MMR1_5y,88.9704459167721
2009-10,E12000006,East of England,Region,MMR2_5y,83.3722921164297
2009-10,E12000006,East of England,Region,PCV_12m,94.4101288465301
2009-10,E12000006,East of England,Region,PCV_24m,88.6543017762263
2009-10,E12000007,London,Region,Cohort_12m,126781.0000000000000
2009-10,E12000007,London,Region,Cohort_24m,123952.0000000000000
2009-10,E12000007,London,Region,Cohort_5y,107709.0000000000000
2009-10,E12000007,London,Region,DTaP_IPV_5y,71.7674474742129
2009-10,E12000007,London,Region,DTaP_IPV_Hib_12m,88.6946782246551
2009-10,E12000007,London,Region,DTaP_IPV_Hib_24m,90.7552923712405
2009-10,E12000007,London,Region,Hib_MenC_24m,81.8720149735381
2009-10,E12000007,London,Region,MMR_24m,81.8913773073448
2009-10,E12000007,London,Region,MMR1_5y,85.8062000389939
2009-10,E12000007,London,Region,MMR2_5y,72.2000946996073
2009-10,E12000007,London,Region,PCV_12m,86.4758914979374
2009-10,E12000007,London,Region,PCV_24m,78.0584419775397
